id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,net_profit_margin,operating_profit_margin,roe_calculated,roa
92,ADANIENSOL,Mar 2020,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,155,1100.0,7399,24246,6966,39711,24924,2212,313,12262,39711,6.184302733006307,37.29852838121934,8.30685963054477,1.7778449296164793
93,ADANIENSOL,Mar 2021,9926,5976,3950.0,40.0,1115,2117,1329,1620,20.0,1290,11.0,0.0,156,1100.0,7819,27095,7219,43234,26987,5255,442,10550,43234,12.996171670360667,39.79447914567802,14.46350487722839,2.9837627792940737
94,ADANIENSOL,Mar 2022,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,157,1100.0,8813,29902,7650,47464,30272,5060,561,11572,47464,10.978859477704743,37.360099484810796,12.46847573892868,2.604078880836002
95,ADANIENSOL,Mar 2023,13293,8775,4518.0,34.0,1583,2781,1608,1712,25.0,1281,11.0,0.0,158,1115.0,10634,34270,7913,53932,32645,6200,1370,13716,53932,9.636650868878357,33.98781313473256,10.90305557919823,2.3752132314766743
96,ADANIENSOL,Mar 2024,16607,10896,5711.0,30.0,611,2767,1776,1780,33.0,1196,10.0,0.0,159,1115.0,11526,37070,8827,58538,38920,3003,766,15849,58538,7.201782380923707,34.38911302462817,9.461276797721698,2.043117291332126
98,ADANIENT,Mar 2013,46375,40354,6021.0,13.0,1775,3492,2298,2005,39.0,1218,15.0,10.0,170,110.0,21286,69332,21143,111871,48770,29248,323,33529,111871,2.6264150943396225,12.983288409703503,5.692652832305104,1.0887540113166057
99,ADANIENT,Mar 2014,54947,45564,9383.0,17.0,1157,5703,3223,1614,-64.0,2646,20.0,7.0,171,110.0,23647,71980,22365,118102,70579,13574,288,33661,118102,4.815549529546654,17.07645549347553,11.1377699204445,2.240436233086654
100,ADANIENT,Mar 2015,64465,52015,12450.0,19.0,792,7056,3522,2663,14.0,2298,18.0,8.0,172,110.0,25618,83571,21420,130718,83834,6733,744,39407,130718,3.564725044597844,19.312805398278137,8.931902985074627,1.757982833274683
101,ADANIENT,Mar 2016,34008,32325,1684.0,5.0,1044,1357,314,1056,7.0,1000,9.0,4.0,173,110.0,13268,19169,9132,41679,10473,7705,805,22696,41679,2.9404845918607387,4.951776052693484,7.4749588877261175,2.399289810216176
102,ADANIENT,Mar 2017,36533,34631,1902.0,5.0,749,1257,315,1079,25.0,925,9.0,4.0,174,110.0,14026,20846,12630,47611,13668,7731,1042,25170,47611,2.5319574083705145,5.206251881860236,6.543576683644596,1.9428283379891202
103,ADANIENT,Mar 2018,35924,33886,2038.0,6.0,363,1250,664,487,23.0,594,7.0,6.0,175,110.0,14979,17637,23679,56405,10555,5526,1461,38864,56405,1.653490702594366,5.673087629439929,3.936642587315263,1.0530981295984398
