id,company_id,year,operating_activity,investing_activity,financing_activity,net_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,distress_flag,borrowings_x,deleveraging_flag,capital_allocation_label,borrowings_y,total_assets,free_cash_flow,previous_label
756,KOTAKBANK,Mar 2019,1822.0,-3323.0,8365.0,6864.0,100,Strong,182.3819978046103,High,NO,291763.0,NO,Growth Investment,291763.0,395171.0,-1501.0,Financial Stress
760,KOTAKBANK,Mar 2023,-1242.0,-10381.0,1883.0,-9740.0,40,Weak,835.8293075684379,High,YES,418807.0,NO,Financial Stress,418807.0,620430.0,-11623.0,Growth Investment
761,KOTAKBANK,Mar 2024,15685.0,-8919.0,15515.0,22281.0,100,Strong,56.86324513866752,High,NO,520374.0,NO,Growth Investment,520374.0,767667.0,6766.0,Financial Stress
763,LICI,Mar 2020,54367.0,-40415.0,-18664.0,-4712.0,100,Strong,74.33737377453234,High,NO,253414.0,NO,Growth Investment,253414.0,3499834.0,13952.0,Stable
764,LICI,Mar 2021,80602.0,148447.0,-256125.0,-27077.0,100,Strong,184.1728493089502,High,NO,4.0,NO,Stable,4.0,3829524.0,229049.0,Growth Investment
766,LICI,Mar 2023,54519.0,-52848.0,-949.0,722.0,100,Strong,96.93501348153855,High,NO,0.0,NO,Growth Investment,0.0,4578491.0,1671.0,Stable
780,LODHA,Mar 2019,-463.0,-175.0,736.0,97.0,40,Weak,37.79697624190065,Normal,NO,25641.0,NO,Financial Stress,25641.0,49864.0,-638.0,Growth Investment
781,LODHA,Mar 2020,3772.0,182.0,-4188.0,-234.0,100,Strong,4.825026511134676,Normal,NO,18423.0,NO,Stable,18423.0,40693.0,3954.0,Financial Stress
785,LODHA,Mar 2024,2512.0,-2947.0,951.0,516.0,100,Strong,117.3168789808917,High,NO,7698.0,NO,Growth Investment,7698.0,47198.0,-435.0,Stable
790,LT,Mar 2017,6655.0,-9796.0,2896.0,-245.0,100,Strong,147.1975957926371,High,NO,0.0,NO,Growth Investment,0.0,4417.0,-3141.0,Financial Stress
791,LT,Mar 2018,-10031.0,3914.0,9370.0,3254.0,40,Weak,39.01904097298375,Normal,NO,0.0,NO,Financial Stress,0.0,5337.0,-6117.0,Growth Investment
793,LT,Mar 2020,6694.0,-8408.0,6372.0,4658.0,100,Strong,125.6050194203765,High,NO,912.0,NO,Growth Investment,912.0,8815.0,-1714.0,Financial Stress
