id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,interest_coverage,asset_turnover,net_debt,high_leverage_flag,icr_label
527,GRASIM,Mar 2024,130978,103783,27195.0,21.0,783,9277,5001,13700,28.0,9926,85.0,12.0,605,133.0,88520,137155,186309,412116,100494,18358,129306,163959,412116,1.5470993649397087,2.9314433545327154,0.3178182841724175,137155,False,Has Debt
532,HAL,Mar 2016,16758,14281,2478.0,15.0,1598,6,863,3207,38.0,1998,28.0,31.0,607,5.0,115,18,38,176,84,21,0,71,176,0.15,413.0,95.2159090909091,18,False,Has Debt
533,HAL,Mar 2017,17950,14714,3236.0,18.0,1044,16,681,3583,27.0,2616,36.0,31.0,608,5.0,128,2,34,170,75,1,22,72,170,0.015037593984962405,202.25,105.58823529411765,2,False,Has Debt
534,HAL,Mar 2018,18519,15059,3460.0,19.0,761,35,947,3240,39.0,1987,30.0,54.0,609,5.0,125,3,33,166,66,1,24,74,166,0.023076923076923078,98.85714285714286,111.56024096385542,3,False,Has Debt
535,HAL,Mar 2019,20008,15440,4569.0,23.0,376,177,1024,3742,37.0,2346,35.0,28.0,610,5.0,128,8,33,175,59,0,22,93,175,0.06015037593984962,25.8135593220339,114.33142857142857,8,False,Has Debt
536,HAL,Mar 2020,21445,16565,4880.0,23.0,415,359,998,3938,28.0,2842,42.0,39.0,611,5.0,133,2,33,173,50,0,18,104,173,0.014492753623188406,13.593314763231199,123.95953757225433,2,False,Has Debt
537,HAL,Mar 2021,22882,17541,5341.0,23.0,360,267,1157,4277,24.0,3239,48.0,31.0,612,5.0,139,6,36,186,45,0,17,124,186,0.041666666666666664,20.00374531835206,123.02150537634408,6,False,Has Debt
538,HAL,Mar 2022,24620,19200,5420.0,22.0,986,65,1110,5231,3.0,5086,76.0,26.0,613,5.0,148,12,36,202,45,1,29,127,202,0.0784313725490196,83.38461538461539,121.88118811881188,12,False,Has Debt
539,HAL,Mar 2023,26928,20258,6669.0,25.0,1672,64,1784,6493,10.0,5811,87.0,32.0,614,5.0,172,47,47,271,57,23,35,156,271,0.2655367231638418,104.203125,99.36531365313652,47,False,Has Debt
540,HAL,Mar 2024,30381,20631,9749.0,32.0,1899,43,1406,10199,26.0,7595,114.0,31.0,615,5.0,194,123,127,450,240,9,43,158,450,0.6180904522613065,226.72093023255815,67.51333333333334,123,False,Has Debt
542,HAVELLS,Mar 2013,7135,6461,674.0,9.0,222,123,110,664,12.0,581,9.0,16.0,643,62.0,1380,982,2034,4458,1500,25,0,2933,4458,0.680998613037448,5.479674796747967,1.6004934948407357,982,False,Has Debt
543,HAVELLS,Mar 2014,8051,7274,777.0,10.0,35,102,116,594,25.0,446,7.0,42.0,644,62.0,1604,1054,2613,5332,1600,44,0,3688,5332,0.6326530612244898,7.617647058823529,1.5099399849962492,1054,False,Has Debt
544,HAVELLS,Mar 2015,8468,7713,755.0,9.0,48,96,139,569,32.0,385,6.0,49.0,645,62.0,1756,424,2546,4788,1541,38,0,3209,4788,0.23322332233223322,7.864583333333333,1.7685881370091896,424,False,Has Debt
545,HAVELLS,Mar 2016,7594,6798,796.0,10.0,949,91,134,1520,14.0,1300,21.0,29.0,646,62.0,2965,134,1225,4387,1224,20,189,2954,4387,0.04426825239511067,8.747252747252746,1.7310234784590837,134,False,Has Debt
