company_id,year,capital_allocation_label,cfo_quality_score,capex_intensity_pct,distress_flag
ASIANPAINT,Mar 2017,Growth Investment,100,44.59724950884086,NO
ASIANPAINT,Mar 2017,Growth Investment,100,44.59724950884086,NO
ASIANPAINT,Mar 2017,Growth Investment,100,44.59724950884086,NO
ASIANPAINT,Mar 2018,Growth Investment,100,73.63937529578799,NO
ASIANPAINT,Mar 2018,Growth Investment,100,73.63937529578799,NO
ASIANPAINT,Mar 2018,Growth Investment,100,73.63937529578799,NO
ASIANPAINT,Mar 2018,Growth Investment,100,73.63937529578799,NO
ASIANPAINT,Mar 2019,Growth Investment,100,37.16599190283401,NO
ASIANPAINT,Mar 2019,Growth Investment,100,37.16599190283401,NO
ASIANPAINT,Mar 2019,Growth Investment,100,37.16599190283401,NO
ASIANPAINT,Mar 2019,Growth Investment,100,37.16599190283401,NO
ASIANPAINT,Mar 2020,Growth Investment,100,17.05069124423963,NO
ASIANPAINT,Mar 2020,Growth Investment,100,17.05069124423963,NO
ASIANPAINT,Mar 2020,Growth Investment,100,17.05069124423963,NO
ASIANPAINT,Mar 2020,Growth Investment,100,17.05069124423963,NO
ASIANPAINT,Mar 2021,Growth Investment,100,14.68911213684497,NO
ASIANPAINT,Mar 2021,Growth Investment,100,14.68911213684497,NO
ASIANPAINT,Mar 2021,Growth Investment,100,14.68911213684497,NO
ASIANPAINT,Mar 2021,Growth Investment,100,14.68911213684497,NO
ASIANPAINT,Mar 2022,Growth Investment,100,32.1501014198783,NO
ASIANPAINT,Mar 2022,Growth Investment,100,32.1501014198783,NO
ASIANPAINT,Mar 2022,Growth Investment,100,32.1501014198783,NO
ASIANPAINT,Mar 2022,Growth Investment,100,32.1501014198783,NO
ASIANPAINT,Mar 2023,Growth Investment,100,30.57476746959218,NO
ASIANPAINT,Mar 2023,Growth Investment,100,30.57476746959218,NO
ASIANPAINT,Mar 2023,Growth Investment,100,30.57476746959218,NO
ASIANPAINT,Mar 2023,Growth Investment,100,30.57476746959218,NO
ASIANPAINT,Mar 2024,Growth Investment,100,41.74311926605505,NO
ASIANPAINT,Mar 2024,Growth Investment,100,41.74311926605505,NO
ASIANPAINT,Mar 2024,Growth Investment,100,41.74311926605505,NO
ASIANPAINT,Mar 2024,Growth Investment,100,41.74311926605505,NO
AGTL,Mar 2018,Growth Investment,100,356.6787003610108,NO
